00324,06/09/2009,"4-5"" BROWN & SHARPE MICROMETER","4-5"" OUTSIDE MICROME",365,08/02/2024,129,08/03/2023,
00325,08/08/2016,"2-3"" MITUTOYO MICROMETER","2-3"" OUTSIDE MICROME",365,04/30/2024,35,05/01/2023,
00328,02/05/2020,"1-2"" OUTSIDE MICROMETER","1-2"" MICROMETER",365,02/01/2025,312,02/02/2024,
00332,05/09/2009,"3/8-1 3/8"" HIGHWOOD GROOVE I",GROOVE INDICATOR,365,08/03/2024,130,08/04/2023,
00333,08/12/2019,"2""-3"" PITCH MIC. MITUTOYO MULTI-ANVIL",PITCH MICROMETER,365,10/01/2024,189,10/02/2023,
00334,08/30/2019,"4"" - 5"" BORE MICROMETER","4""- 5"" BORE MIC",365,08/03/2024,130,08/04/2023,
00335,08/30/2019,"6"" - 7"" BORE MICROMETER","6"" - 7"" BORE MICROME",365,11/08/2024,227,11/09/2023,
00336,08/30/2019,"5"" - 6"" BORE MICROMETER","5"" - 6"" BORE MICROM",365,08/03/2024,130,08/04/2023,
00337,02/12/2020,M3 X 0.5 6H GO / NO GO THREAD PLUG G,THREAD PLUG GAGE,365,01/16/2025,296,01/17/2024,
00338,10/17/2020,"0-1"" MITUTOYO PIN MIC (.0001)","0 - 1"" PIN MICROMETE",365,10/02/2024,190,10/03/2023,
00340,09/23/2019,7/16-20 UNF 2B (OVER SIZE +.003),THREAD PLUG GAGE,365,01/16/2025,296,01/17/2024,
00341,09/23/2019,5/16-24 UNF 2B (OVERSIZE +.003),THREAD PLUG GAGE,365,10/01/2024,189,10/02/2023,
00342,06/09/2009,"8-9"" STARRETT MICROMETER","8""-9"" OUTSIDE MICROM",365,10/02/2024,190,10/03/2023,
00346,09/23/2019,3/8-24 UNF 2B (OVERSIZE +.003),THREAD PLUG GAGE,365,10/01/2024,189,10/02/2023,
00348,09/23/2019,5/8-11 UNC 2B (OVERSIZE +.004),THREAD PLUG GAGE,365,10/01/2024,189,10/02/2023,
